ID,EventID,ArtistID
1,1,13
2,1,10
3,1,34
4,1,24
5,1,16
6,1,20
7,1,5
8,2,26
9,2,36
10,2,30
11,2,20
12,2,8
13,2,12
14,3,36
15,3,14
16,3,21
17,3,37
18,3,10
19,3,28
20,4,35
21,4,7
22,4,2
23,4,8
24,4,16
25,5,23
26,5,3
27,5,19
28,5,27
29,5,38
30,5,4
31,5,31
32,6,15
33,6,1
34,6,32
35,6,11
36,6,6
37,6,22
38,7,17
39,7,9
40,7,7
41,7,30
42,7,33
43,8,23
44,8,37
45,8,10
46,8,13
47,9,25
48,4,18
49,7,39
50,7,20
